Outcome,Predictor,Coef,StdError,DF,t_value,p_value,FDR,logPval,sig
comp_memory2,MT.ATP6_heteroplasmic,0.534374541724796,0.547807302099489,187.96610333689,0.975479041036488,0.33057642011846,0.963519497167247,0.480728127708484,no
comp_fluency,MT.TQ_heteroplasmic,-0.682219883543634,0.699656661112589,129.394300491711,-0.975078093959362,0.331340917739035,0.66268183547807,0.479724929192029,no
z_lf,MT.CO2_heteroplasmic,-0.480271241588175,0.494725033613081,171.161337214407,-0.970784191130685,0.333025608850089,0.518116955867417,0.477522369032263,no
z_moca,MT.ND6_heteroplasmic,-0.518560698714886,0.542156008510363,101.157381926724,-0.956478745185711,0.34111071663613,0.903207465648308,0.46710463619851,no
z_af,MT.TF_heteroplasmic,0.800024252812215,0.841562555023804,139.4090439589,0.950641456224946,0.343431603822514,0.70794835536531,0.46415974198181,no
z_moca,MT.TI_heteroplasmic,-0.915085191837194,0.968809696400867,118.59374132495,-0.944545864101836,0.346811158016567,0.903207465648308,0.459906938338072,no
z_wll,MT.CYB_heteroplasmic,-0.278578639904671,0.298108495244106,144.834246774641,-0.93448742437399,0.351607907550495,0.952684798714205,0.453941366343066,no
z_af,MT.ATP8_heteroplasmic,-0.601933601715281,0.647682666019362,175.817365386599,-0.929365001250916,0.353974177682655,0.70794835536531,0.451028418479777,no
comp_overall,MT.ND2_heteroplasmic,0.271665736520245,0.293512222179813,143.961559766147,0.925568736125121,0.356219101307901,0.88252804673519,0.448282796354528,no
z_lf,MT.TF_heteroplasmic,0.725381924323981,0.786183824490595,133.547071456852,0.92266198022325,0.357847329242738,0.518116955867417,0.446302219750779,no
z_wld,MT.CO3_heteroplasmic,0.327704855111276,0.35634640905929,134.750289968719,0.919624406981892,0.359412381643148,0.979590438687123,0.444406965661457,no
comp_overall2,MT.ND4_heteroplasmic,-0.372718124958486,0.406554432352791,135.627882530133,-0.91677299593442,0.360888886736657,0.865058769934006,0.442626491460188,no
z_lf,MT.ND5_heteroplasmic,-0.242416612571762,0.265518545087341,153.073875241543,-0.912993148904232,0.362681869107192,0.518116955867417,0.440474154768378,no
comp_memory,MT.ND3_heteroplasmic,-0.86712453172247,0.96284759680792,141.080877102302,-0.90058336812306,0.369344620479385,0.947753673522063,0.432568222115128,no
z_mocam,MT.ATP8_heteroplasmic,0.949949330121387,1.06616465974956,146.243536937931,0.890996828148975,0.374394398663362,0.903711125950962,0.426670657390637,no
comp_overall2,MT.ATP6_heteroplasmic,0.396475996213597,0.45023898921482,199.787776013307,0.880590099282647,0.379597781210208,0.865058769934006,0.420676334735207,no
z_mocam,MT.ND5_heteroplasmic,-0.290702398098563,0.334196790146105,133.139750770657,-0.869853950337083,0.385945758635897,0.903711125950962,0.413473727401798,no
z_wll,MT.TQ_heteroplasmic,-0.783735932427952,0.928348308648742,110.535358828281,-0.84422616503575,0.400366478064576,0.952684798714205,0.397542292334162,no
comp_memory2,MT.DLOOP1_heteroplasmic,-0.277431659898075,0.330930309377222,151.918597450235,-0.838338623077995,0.403157638846652,0.963519497167247,0.394525106973348,no
comp_fluency,MT.DLOOP2_heteroplasmic,-0.35686101287591,0.429034458945312,149.078691269689,-0.831777041296811,0.406865154434347,0.739754826244267,0.390549503277457,no
z_mocam,MT.ATP6_heteroplasmic,0.519761811238773,0.630055534979587,168.948322619587,0.82494602837766,0.410565466909202,0.903711125950962,0.386617582392333,no
z_wll,MT.ATP6_heteroplasmic,0.504512030605091,0.61381383667467,163.225874924874,0.821930038818088,0.412315708234996,0.952684798714205,0.384770119310147,no
comp_overall,MT.TQ_heteroplasmic,-0.54578715060437,0.664813559311133,126.566115376926,-0.82096272400025,0.413211132388967,0.88252804673519,0.383827986595855,no
z_af,MT.RNR1_heteroplasmic,-0.24979402537148,0.307920090137562,162.442822592454,-0.811230034584252,0.418420603059972,0.760764732836313,0.378386938923388,no
