Outcome,Predictor,Coef,StdError,t_value,p_value,FDR,logPval
first_comp_overall,MT.CO3_heteroplasmic,0.345541684449774,0.343986337281653,1.0045215376297,0.316554962693791,0.738851101040674,0.499550873569979
first_z_af,MT.ND4_heteroplasmic,-0.576474848718648,0.577492398628039,-0.998237985622307,0.31958272884179,0.863859164165951,0.495416699230964
first_z_mocam,MT.TQ_heteroplasmic,-1.3768571031394,1.38297296118011,-0.995577745760486,0.320922009372614,0.49372616826556,0.493600497235135
first_z_af,MT.TN_heteroplasmic,-1.12779413245176,1.15166602133407,-0.979271864898249,0.328837202193953,0.863859164165951,0.483019055506716
first_comp_overall2,MT.TI_heteroplasmic,-0.983408473692288,1.01643454678266,-0.967507919526241,0.334664594347646,0.825400548128407,0.475390231152201
first_z_wld,MT.TQ_heteroplasmic,1.03246837606227,1.07342559151571,0.96184438327429,0.337493884238258,0.793069648447689,0.471734092657082
first_comp_memory,MT.TN_heteroplasmic,-1.01989825335477,1.07986330580151,-0.944469774901528,0.346270029086499,0.906561741492892,0.46058509656961
first_z_wld,MT.ND2_heteroplasmic,0.393544364621389,0.418052619722537,0.941375190717824,0.347848395574607,0.793069648447689,0.458609995453383
first_z_moca,MT.CO2_heteroplasmic,0.74306662948163,0.796408735911941,0.933021695989773,0.35218036885725,0.673423602808004,0.453234856019463
first_comp_fluency,MT.ATP8_heteroplasmic,-0.704696554784004,0.758048309301768,-0.929619585106777,0.353886227618279,0.953831321247456,0.45113633870685
first_comp_overall,MT.TI_heteroplasmic,-0.901278082956532,0.987186059827747,-0.912976914517811,0.362547631845433,0.738851101040674,0.440634927331096
first_comp_memory2,MT.TN_heteroplasmic,-0.987985696874902,1.09661602601012,-0.900940414366869,0.368894567382388,0.796805731175835,0.433097740471825
first_comp_overall2,MT.RNR1_heteroplasmic,-0.318957862545064,0.355912994494058,-0.89616807331936,0.371430246657783,0.825400548128407,0.430122733278772
first_z_moca,MT.ND5_heteroplasmic,-0.372350683030356,0.418444018851788,-0.889845872458848,0.374852104628434,0.673423602808004,0.426140046439986
